"Ano","Unidade da Federação","Qtde Contribuintes Empregados","Quantidade de Vínculos","Vl Remuneração (R$)","Número Médio Mensal Cont Emprg","Estatísticas Cont Empregado"
"1996","Goiás","439245","496535","1545283746,99","315451","Qtde Contribuintes Empregados"
"1996","Distrito Federal","354276","406316","2773525311,09","270689","Qtde Contribuintes Empregados"
"1996","Ignorado","80296","88273","183132045,65","62444","Qtde Contribuintes Empregados"
"1997","Rondônia","90413","100918","295483231,18","62109","Qtde Contribuintes Empregados"
"1997","Acre","28117","30766","116378095,83","21568","Qtde Contribuintes Empregados"
"1997","Amazonas","185162","212030","1013715481,65","134877","Qtde Contribuintes Empregados"
"1997","Roraima","14127","15546","54562056,73","9797","Qtde Contribuintes Empregados"
"1997","Pará","287627","316906","1213558042,92","216040","Qtde Contribuintes Empregados"
"1997","Amapá","24740","27485","95293216,68","17248","Qtde Contribuintes Empregados"
"1997","Tocantins","41210","46121","110390965,34","27774","Qtde Contribuintes Empregados"
"1997","Maranhão","179634","198350","615341455,45","134120","Qtde Contribuintes Empregados"
"1997","Piauí","165223","181938","565414429,14","132887","Qtde Contribuintes Empregados"
"1997","Ceará","558968","635232","1946130528,22","421137","Qtde Contribuintes Empregados"
"1997","Rio Grande do Norte","214316","243304","692858932,57","161214","Qtde Contribuintes Empregados"
"1997","Paraíba","224952","255502","699364721,22","173263","Qtde Contribuintes Empregados"
"1997","Pernambuco","687915","796725","2854321457,36","517572","Qtde Contribuintes Empregados"
"1997","Alagoas","215537","246785","723335422,67","156153","Qtde Contribuintes Empregados"
"1997","Sergipe","140696","161073","477786380,40","105695","Qtde Contribuintes Empregados"
"1997","Bahia","817726","930044","3327976523,68","607659","Qtde Contribuintes Empregados"
"1997","Minas Gerais","2385519","2823659","9982877830,11","1734630","Qtde Contribuintes Empregados"
"1997","Espírito Santo","397299","460720","1679558845,79","288269","Qtde Contribuintes Empregados"
"1997","Rio de Janeiro","2422286","2851170","14874558835,97","1826281","Qtde Contribuintes Empregados"
"1997","São Paulo","7708991","9108441","56868330029,50","5872487","Qtde Contribuintes Empregados"
"1997","Paraná","1489687","1746485","7012988867,46","1111303","Qtde Contribuintes Empregados"
"1997","Santa Catarina","946477","1103582","4573581845,03","719186","Qtde Contribuintes Empregados"
"1997","Rio Grande do Sul","1654233","1944196","8420618309,65","1243463","Qtde Contribuintes Empregados"
"1997","Mato Grosso do Sul","223726","253731","800980563,94","160921","Qtde Contribuintes Empregados"
"1997","Mato Grosso","240901","278929","854292068,20","167112","Qtde Contribuintes Empregados"
"1997","Goiás","485861","559511","1743306158,00","342657","Qtde Contribuintes Empregados"
"1997","Distrito Federal","369693","422644","2997246879,07","281874","Qtde Contribuintes Empregados"
"1997","Ignorado","51658","55750","135950209,95","42125","Qtde Contribuintes Empregados"
"1998","Rondônia","110706","120272","451102270,80","77988","Qtde Contribuintes Empregados"
"1998","Acre","33373","35110","162716481,90","25439","Qtde Contribuintes Empregados"
"1998","Amazonas","206057","232529","1357433721,00","153216","Qtde Contribuintes Empregados"
"1998","Roraima","16409","17626","79341021,20","11444","Qtde Contribuintes Empregados"
"1998","Pará","344158","370129","1696305105,10","260372","Qtde Contribuintes Empregados"
"1998","Amapá","27585","29577","122055411,90","19393","Qtde Contribuintes Empregados"
"1998","Tocantins","61343","64438","223861357,60","41579","Qtde Contribuintes Empregados"
"1998","Maranhão","206065","223447","911685791,10","157078","Qtde Contribuintes Empregados"
"1998","Piauí","190195","205313","758431558,20","156571","Qtde Contribuintes Empregados"
"1998","Ceará","581892","647435","2259104981,90","434166","Qtde Contribuintes Empregados"
"1998","Rio Grande do Norte","248888","263063","1015548857,60","186914","Qtde Contribuintes Empregados"
"1998","Paraíba","234036","258558","853940738,20","178633","Qtde Contribuintes Empregados"
"1998","Pernambuco","750641","830657","3517263623,80","564100","Qtde Contribuintes Empregados"
"1998","Alagoas","223450","253213","855265706,40","164862","Qtde Contribuintes Empregados"
"1998","Sergipe","168337","182396","770403139,90","126818","Qtde Contribuintes Empregados"
"1998","Bahia","937496","1042522","4553515426,20","700998","Qtde Contribuintes Empregados"
"1998","Minas Gerais","2809583","3184511","12825204496,50","2037661","Qtde Contribuintes Empregados"
"1998","Espírito Santo","453198","511883","2327543516,20","338840","Qtde Contribuintes Empregados"
"1998","Rio de Janeiro","2701002","3068174","19435199772,50","2079526","Qtde Contribuintes Empregados"
"1998","São Paulo","8345765","9412916","71478642167,38","6451394","Qtde Contribuintes Empregados"
"1998","Paraná","1654338","1917731","8969275960,70","1258204","Qtde Contribuintes Empregados"
"1998","Santa Catarina","1036923","1158669","5747386509,70","797161","Qtde Contribuintes Empregados"
"1998","Rio Grande do Sul","1878135","2116884","11297956973,50","1433913","Qtde Contribuintes Empregados"
"1998","Mato Grosso do Sul","266797","284872","1131606445,00","193077","Qtde Contribuintes Empregados"
"1998","Mato Grosso","289963","325098","1144685122,50","202973","Qtde Contribuintes Empregados"
"1998","Goiás","557535","616145","2331919964,70","396923","Qtde Contribuintes Empregados"
"1998","Distrito Federal","421362","460289","3980106936,90","322154","Qtde Contribuintes Empregados"
"1998","Ignorado","3569","474032","8699695,60","2935","Qtde Contribuintes Empregados"
"1999","Rondônia","124042","146764","429728049,32","77514","Qtde Contribuintes Empregados"
"1999","Acre","36730","42923","153400311,49","24367","Qtde Contribuintes Empregados"
"1999","Amazonas","212128","259083","1307820747,74","145259","Qtde Contribuintes Empregados"
"1999","Roraima","19359","22974","82347902,52","11867","Qtde Contribuintes Empregados"
"1999","Pará","353372","417590","1604826863,33","238431","Qtde Contribuintes Empregados"
"1999","Amapá","32099","38911","132160091,79","20971","Qtde Contribuintes Empregados"
"1999","Tocantins","72881","92434","243183228,12","44077","Qtde Contribuintes Empregados"
"1999","Maranhão","206663","247260","873160722,88","138526","Qtde Contribuintes Empregados"
"1999","Piauí","146232","178479","518839420,02","103312","Qtde Contribuintes Empregados"
"1999","Ceará","611941","749535","2326103587,27","432107","Qtde Contribuintes Empregados"
"1999","Rio Grande do Norte","260202","312201","956623907,94","179525","Qtde Contribuintes Empregados"
"1999","Paraíba","238478","291978","875436668,44","168395","Qtde Contribuintes Empregados"
"1999","Pernambuco","697874","839087","3204953425,75","483133","Qtde Contribuintes Empregados"
"1999","Alagoas","200506","241284","703012298,58","128617","Qtde Contribuintes Empregados"
"1999","Sergipe","177904","218095","769157897,14","126408","Qtde Contribuintes Empregados"
"1999","Bahia","1005905","1209457","4712465312,17","697462","Qtde Contribuintes Empregados"
"1999","Minas Gerais","2950904","3652668","13483536650,88","2058537","Qtde Contribuintes Empregados"
"1999","Espírito Santo","487886","598609","7413141958,25","348649","Qtde Contribuintes Empregados"
"1999","Rio de Janeiro","2664949","3314332","19001017124,00","1926916","Qtde Contribuintes Empregados"
"1999","São Paulo","8577038","10579652","74137192602,63","6315746","Qtde Contribuintes Empregados"
"1999","Paraná","1718236","2108250","9284473381,64","1247863","Qtde Contribuintes Empregados"
"1999","Santa Catarina","1128491","1376375","5803179922,88","789078","Qtde Contribuintes Empregados"
"1999","Rio Grande do Sul","1918277","2416416","11236888194,83","1409975","Qtde Contribuintes Empregados"
"1999","Mato Grosso do Sul","286373","351139","1144004235,74","191635","Qtde Contribuintes Empregados"
"1999","Mato Grosso","317037","377176","1200308979,06","206855","Qtde Contribuintes Empregados"
"1999","Goiás","616200","743374","2577985512,49","416690","Qtde Contribuintes Empregados"
"1999","Distrito Federal","457403","618587","3858339942,54","323123","Qtde Contribuintes Empregados"
"1999","Ignorado","246107","312429","547083076,71","163411","Qtde Contribuintes Empregados"
"2000","Rondônia","144348","173326","431111207,19","75002","Qtde Contribuintes Empregados"
"2000","Acre","41005","49786","152574916,18","22600","Qtde Contribuintes Empregados"
"2000","Amazonas","227025","275397","1228785289,63","134065","Qtde Contribuintes Empregados"
"2000","Roraima","20220","23869","88034459,87","11987","Qtde Contribuintes Empregados"
"2000","Pará","394645","471259","1680661417,35","249685","Qtde Contribuintes Empregados"
"2000","Amapá","35793","43258","141831590,57","21318","Qtde Contribuintes Empregados"
"2000","Tocantins","85898","108158","277636405,70","49265","Qtde Contribuintes Empregados"
"2000","Maranhão","221691","267616","789447707,17","126425","Qtde Contribuintes Empregados"
"2000","Piauí","155346","190592","501736611,49","97772","Qtde Contribuintes Empregados"
"2000","Ceará","642419","777532","2289730956,30","398127","Qtde Contribuintes Empregados"
"2000","Rio Grande do Norte","281692","337987","953249116,05","176081","Qtde Contribuintes Empregados"
"2000","Paraíba","247925","302921","873749359,23","163747","Qtde Contribuintes Empregados"
"2000","Pernambuco","734680","892773","3211902137,27","478585","Qtde Contribuintes Empregados"
"2000","Alagoas","226368","273308","735488405,51","132166","Qtde Contribuintes Empregados"
"2000","Sergipe","187791","230532","669902735,38","105077","Qtde Contribuintes Empregados"
"2000","Bahia","1116358","1348741","4367704870,91","599526","Qtde Contribuintes Empregados"
"2000","Minas Gerais","3120093","3856294","13856036140,53","2075058","Qtde Contribuintes Empregados"
"2000","Espírito Santo","532749","656280","2473432341,45","352431","Qtde Contribuintes Empregados"
"2000","Rio de Janeiro","2742689","3374405","19034584485,84","1892059","Qtde Contribuintes Empregados"
"2000","São Paulo","8973180","11191123","73383079599,38","6224221","Qtde Contribuintes Empregados"
"2000","Paraná","1802392","2217459","9139443444,08","1185312","Qtde Contribuintes Empregados"
"2000","Santa Catarina","1234666","1527864","5795979499,16","773407","Qtde Contribuintes Empregados"
"2000","Rio Grande do Sul","2016241","2485398","10918905369,06","1309724","Qtde Contribuintes Empregados"
"2000","Mato Grosso do Sul","312314","384030","1176689611,02","191777","Qtde Contribuintes Empregados"
"2000","Mato Grosso","356574","434996","1240283582,66","209967","Qtde Contribuintes Empregados"
"2000","Goiás","687421","841568","2700435770,16","435988","Qtde Contribuintes Empregados"
"2000","Distrito Federal","480991","603866","3452368360,61","290603","Qtde Contribuintes Empregados"
"2000","Ignorado","242828","309080","539306804,87","149922","Qtde Contribuintes Empregados"
"2001","Rondônia","163563","194416","685933548,74","106958","Qtde Contribuintes Empregados"
"2001","Acre","49827","59253","250969739,44","33410","Qtde Contribuintes Empregados"
"2001","Amazonas","261449","320208","1739331308,31","180613","Qtde Contribuintes Empregados"
"2001","Roraima","30056","36362","151007201,08","18954","Qtde Contribuintes Empregados"
"2001","Pará","498579","586039","2404725960,92","337097","Qtde Contribuintes Empregados"
"2001","Amapá","45367","53223","235148120,97","29826","Qtde Contribuintes Empregados"
"2001","Tocantins","121830","150801","512072572,50","79803","Qtde Contribuintes Empregados"
"2001","Maranhão","280202","334501","1225017724,97","191902","Qtde Contribuintes Empregados"
"2001","Piauí","180851","217386","708420890,87","129529","Qtde Contribuintes Empregados"
"2001","Ceará","743209","884440","3074368369,75","530355","Qtde Contribuintes Empregados"
"2001","Rio Grande do Norte","341160","410530","1373249917,13","241792","Qtde Contribuintes Empregados"
"2001","Paraíba","309657","374079","1220940802,54","221576","Qtde Contribuintes Empregados"
"2001","Pernambuco","833075","1017280","4157457089,75","589710","Qtde Contribuintes Empregados"
"2001","Alagoas","264863","337098","1023845189,10","177072","Qtde Contribuintes Empregados"
"2001","Sergipe","214212","263087","1037638471,99","155556","Qtde Contribuintes Empregados"
"2001","Bahia","1287305","1537754","6656013268,82","907018","Qtde Contribuintes Empregados"
"2001","Minas Gerais","3303999","4040050","16928183819,72","2353057","Qtde Contribuintes Empregados"
"2001","Espírito Santo","592057","731845","3171590941,28","423670","Qtde Contribuintes Empregados"
"2001","Rio de Janeiro","2897699","3537243","23563083173,84","2145091","Qtde Contribuintes Empregados"
"2001","São Paulo","9527234","11764806","88860643798,38","7147073","Qtde Contribuintes Empregados"
"2001","Paraná","1962219","2432860","11791240537,41","1438666","Qtde Contribuintes Empregados"
"2001","Santa Catarina","1379094","1729053","8021105384,34","1018206","Qtde Contribuintes Empregados"
"2001","Rio Grande do Sul","2182293","2712359","14413209134,13","1628914","Qtde Contribuintes Empregados"
"2001","Mato Grosso do Sul","361381","448700","1664096422,86","247315","Qtde Contribuintes Empregados"
"2001","Mato Grosso","429059","524856","1870717194,42","282704","Qtde Contribuintes Empregados"
"2001","Goiás","814513","994671","3752094597,45","555817","Qtde Contribuintes Empregados"
"2001","Distrito Federal","543230","737556","5226360194,87","397232","Qtde Contribuintes Empregados"
"2001","Ignorado","149863","177162","395477717,24","104343","Qtde Contribuintes Empregados"
"2002","Rondônia","170468","201370","762414877,88","110113","Qtde Contribuintes Empregados"
"2002","Acre","53009","62542","289271766,32","34958","Qtde Contribuintes Empregados"
"2002","Amazonas","279273","336944","1923773041,92","191960","Qtde Contribuintes Empregados"
"2002","Roraima","39625","47384","161880011,02","20793","Qtde Contribuintes Empregados"
"2002","Pará","554842","638386","2832640838,37","370370","Qtde Contribuintes Empregados"
"2002","Amapá","49385","56873","243480300,41","29954","Qtde Contribuintes Empregados"
"2002","Tocantins","138842","164792","610970646,93","89966","Qtde Contribuintes Empregados"
"2002","Maranhão","294537","339139","1364611963,35","199708","Qtde Contribuintes Empregados"
"2002","Piauí","190875","221758","800152849,76","135680","Qtde Contribuintes Empregados"
"2002","Ceará","798059","919167","3471700719,51","566336","Qtde Contribuintes Empregados"
"2002","Rio Grande do Norte","361315","421115","1616779210,36","256943","Qtde Contribuintes Empregados"
"2002","Paraíba","325804","380021","1348523715,34","226793","Qtde Contribuintes Empregados"
"2002","Pernambuco","867332","1028319","4519192316,53","608237","Qtde Contribuintes Empregados"
"2002","Alagoas","283688","342415","1177082844,94","188076","Qtde Contribuintes Empregados"
"2002","Sergipe","227033","276777","1188763080,81","162837","Qtde Contribuintes Empregados"
"2002","Bahia","1376109","1604388","7462775392,24","960772","Qtde Contribuintes Empregados"
"2002","Minas Gerais","3447643","4133968","18756141727,91","2453380","Qtde Contribuintes Empregados"
"2002","Espírito Santo","637163","782803","3595444971,04","449219","Qtde Contribuintes Empregados"
"2002","Rio de Janeiro","2932722","3507291","25618235944,50","2165686","Qtde Contribuintes Empregados"
"2002","São Paulo","9654797","11705218","94411096549,50","7200896","Qtde Contribuintes Empregados"
"2002","Paraná","2015160","2457349","12984536232,16","1488907","Qtde Contribuintes Empregados"
"2002","Santa Catarina","1456860","1797214","9044864403,64","1066480","Qtde Contribuintes Empregados"
"2002","Rio Grande do Sul","2232937","2712212","15938494790,59","1670044","Qtde Contribuintes Empregados"
"2002","Mato Grosso do Sul","384995","466344","1890679250,25","265875","Qtde Contribuintes Empregados"
"2002","Mato Grosso","468755","566928","2195215755,91","305662","Qtde Contribuintes Empregados"
"2002","Goiás","861802","1052689","4293711847,89","587589","Qtde Contribuintes Empregados"
"2002","Distrito Federal","558851","684524","5839007954,09","410083","Qtde Contribuintes Empregados"
"2002","Ignorado","143187","164741","410478420,36","98484","Qtde Contribuintes Empregados"
"2003","Rondônia","178024","209657","904906565,80","115527","Qtde Contribuintes Empregados"
"2003","Acre","54809","64423","320825409,65","36029","Qtde Contribuintes Empregados"
"2003","Amazonas","294067","349188","2243556476,26","205262","Qtde Contribuintes Empregados"
"2003","Roraima","39180","44072","177386367,61","20854","Qtde Contribuintes Empregados"
"2003","Pará","578420","666275","3172443379,97","381980","Qtde Contribuintes Empregados"
"2003","Amapá","50670","59209","269446666,97","30319","Qtde Contribuintes Empregados"
"2003","Tocantins","146351","172066","710005570,07","92882","Qtde Contribuintes Empregados"
"2003","Maranhão","305071","347311","1537503956,61","203111","Qtde Contribuintes Empregados"
"2003","Piauí","195480","225702","903920208,87","137723","Qtde Contribuintes Empregados"
"2003","Ceará","825657","970126","3952594240,54","589017","Qtde Contribuintes Empregados"
"2003","Rio Grande do Norte","375248","432732","1817238118,78","263103","Qtde Contribuintes Empregados"
"2003","Paraíba","319468","366053","1486158295,18","227147","Qtde Contribuintes Empregados"
"2003","Pernambuco","880912","1037814","4960766255,05","608813","Qtde Contribuintes Empregados"
"2003","Alagoas","297985","358960","1361623201,94","196352","Qtde Contribuintes Empregados"
"2003","Sergipe","239551","288197","1363100241,27","168374","Qtde Contribuintes Empregados"
"2003","Bahia","1429685","1668781","8410944440,06","979570","Qtde Contribuintes Empregados"
"2003","Minas Gerais","3540237","4236211","21402991958,59","2519916","Qtde Contribuintes Empregados"
"2003","Espírito Santo","648018","803110","4012002147,61","462124","Qtde Contribuintes Empregados"
"2003","Rio de Janeiro","2939846","3484747","28217473016,31","2169500","Qtde Contribuintes Empregados"
"2003","São Paulo","9702693","11638053","103757196418,50","7252362","Qtde Contribuintes Empregados"
"2003","Paraná","2104589","2549367","14820748576,92","1541343","Qtde Contribuintes Empregados"
"2003","Santa Catarina","1520728","1863370","10448885429,25","1106914","Qtde Contribuintes Empregados"
"2003","Rio Grande do Sul","2278311","2747902","18034053272,72","1694788","Qtde Contribuintes Empregados"
"2003","Mato Grosso do Sul","406705","491257","2214640711,50","279907","Qtde Contribuintes Empregados"
"2003","Mato Grosso","502114","607489","2578612862,89","327485","Qtde Contribuintes Empregados"
"2003","Goiás","893294","1060800","4845630948,53","602701","Qtde Contribuintes Empregados"
"2003","Distrito Federal","572903","690171","6523726204,04","416756","Qtde Contribuintes Empregados"
"2003","Ignorado","134548","154807","440350045,12","92019","Qtde Contribuintes Empregados"
"2004","Rondônia","193636","229213","1058310037,50","126725","Qtde Contribuintes Empregados"
"2004","Acre","59867","70381","387441652,49","39928","Qtde Contribuintes Empregados"
"2004","Amazonas","338058","408837","2847802899,91","235499","Qtde Contribuintes Empregados"
"2004","Roraima","32675","38127","197003694,59","19358","Qtde Contribuintes Empregados"
"2004","Pará","638212","734703","3787544203,37","420810","Qtde Contribuintes Empregados"
"2004","Amapá","56536","64963","372677665,37","36083","Qtde Contribuintes Empregados"
"2004","Tocantins","162835","187839","886455834,16","106587","Qtde Contribuintes Empregados"
"2004","Maranhão","322753","367810","1809602825,79","220491","Qtde Contribuintes Empregados"
"2004","Piauí","208150","240213","1089644602,53","149642","Qtde Contribuintes Empregados"
"2004","Ceará","868926","993229","4588357745,30","627740","Qtde Contribuintes Empregados"
"2004","Rio Grande do Norte","413580","485407","2210113276,98","290450","Qtde Contribuintes Empregados"
"2004","Paraíba","328170","372560","1709988591,09","239888","Qtde Contribuintes Empregados"
"2004","Pernambuco","937692","1105725","5768866173,52","656220","Qtde Contribuintes Empregados"
"2004","Alagoas","312482","381905","1591082906,39","209839","Qtde Contribuintes Empregados"
"2004","Sergipe","248715","298103","1617064379,98","180281","Qtde Contribuintes Empregados"
"2004","Bahia","1533604","1806703","10133137031,38","1088804","Qtde Contribuintes Empregados"
"2004","Minas Gerais","3768849","4534270","25121097684,03","2709331","Qtde Contribuintes Empregados"
"2004","Espírito Santo","692968","864668","4759941722,58","497163","Qtde Contribuintes Empregados"
"2004","Rio de Janeiro","3039434","3620003","32196646535,31","2254716","Qtde Contribuintes Empregados"
"2004","São Paulo","10141264","12269379","119306678912,75","7634055","Qtde Contribuintes Empregados"
"2004","Paraná","2246948","2745011","17384007193,50","1656665","Qtde Contribuintes Empregados"
"2004","Santa Catarina","1631759","2030397","12465342599,98","1199564","Qtde Contribuintes Empregados"
"2004","Rio Grande do Sul","2398527","2933314","21023243382,00","1794858","Qtde Contribuintes Empregados"
"2004","Mato Grosso do Sul","443291","540232","2662663000,67","306908","Qtde Contribuintes Empregados"
"2004","Mato Grosso","580915","712777","3308106571,34","373306","Qtde Contribuintes Empregados"
"2004","Goiás","965277","1155971","5820642088,41","662953","Qtde Contribuintes Empregados"
"2004","Distrito Federal","609924","732538","7666894181,70","449208","Qtde Contribuintes Empregados"
"2004","Ignorado","142361","168510","500505615,07","92836","Qtde Contribuintes Empregados"
"2005","Rondônia","210694","246461","1273231206,46","137780","Qtde Contribuintes Empregados"
"2005","Acre","71103","84269","469572694,18","45931","Qtde Contribuintes Empregados"
"2005","Amazonas","398715","482170","3562497881,40","276176","Qtde Contribuintes Empregados"
"2005","Roraima","43745","51195","272020757,53","27657","Qtde Contribuintes Empregados"
"2005","Pará","726487","842397","4538707871,88","473494","Qtde Contribuintes Empregados"
"2005","Amapá","65176","75307","421334057,75","41022","Qtde Contribuintes Empregados"
"2005","Tocantins","181261","214170","1046346013,39","117801","Qtde Contribuintes Empregados"
"2005","Maranhão","373229","433009","2178281750,56","247037","Qtde Contribuintes Empregados"
"2005","Piauí","236901","276176","1316330000,83","168126","Qtde Contribuintes Empregados"
"2005","Ceará","944107","1082916","5313045127,42","674433","Qtde Contribuintes Empregados"
"2005","Rio Grande do Norte","451553","533314","2626324208,08","311598","Qtde Contribuintes Empregados"
"2005","Paraíba","360861","415279","1984414948,67","258312","Qtde Contribuintes Empregados"
"2005","Pernambuco","1031542","1233653","6607844389,12","705884","Qtde Contribuintes Empregados"
"2005","Alagoas","329764","398374","1802465893,84","216708","Qtde Contribuintes Empregados"
"2005","Sergipe","270462","326025","1901426705,01","194909","Qtde Contribuintes Empregados"
"2005","Bahia","1709940","2004521","11798011156,94","1178279","Qtde Contribuintes Empregados"
"2005","Minas Gerais","4098500","4956270","29000399995,69","2913346","Qtde Contribuintes Empregados"
"2005","Espírito Santo","766850","966474","5626957581,04","540614","Qtde Contribuintes Empregados"
"2005","Rio de Janeiro","3200484","3815141","35249405916,19","2327785","Qtde Contribuintes Empregados"
"2005","São Paulo","10874954","13234908","132329651947,13","8083074","Qtde Contribuintes Empregados"
"2005","Paraná","2414769","2951730","19853697174,00","1764800","Qtde Contribuintes Empregados"
"2005","Santa Catarina","1770935","2219043","14396305385,02","1292412","Qtde Contribuintes Empregados"
"2005","Rio Grande do Sul","2480582","3006269","23031634036,41","1842068","Qtde Contribuintes Empregados"
"2005","Mato Grosso do Sul","476206","577472","3021759073,88","320183","Qtde Contribuintes Empregados"
"2005","Mato Grosso","628476","768820","3935166469,61","404191","Qtde Contribuintes Empregados"
"2005","Goiás","1051606","1265740","6780687704,66","707630","Qtde Contribuintes Empregados"
"2005","Distrito Federal","662145","796648","8829315119,16","480321","Qtde Contribuintes Empregados"
"2005","Ignorado","104284","131819","398385823,11","68599","Qtde Contribuintes Empregados"
"2006","Rondônia","218008","253839","1485651126,36","144484","Qtde Contribuintes Empregados"
"2006","Acre","76989","91240","495373417,61","45962","Qtde Contribuintes Empregados"
"2006","Amazonas","431664","522670","4024287505,56","290699","Qtde Contribuintes Empregados"
"2006","Roraima","48701","56246","344607184,33","31230","Qtde Contribuintes Empregados"
"2006","Pará","741298","862681","5068703674,59","473337","Qtde Contribuintes Empregados"
"2006","Amapá","68396","78062","471535871,30","42805","Qtde Contribuintes Empregados"
"2006","Tocantins","187095","219943","1225061356,96","126706","Qtde Contribuintes Empregados"
"2006","Maranhão","390581","450335","2518827414,32","259879","Qtde Contribuintes Empregados"
"2006","Piauí","249566","290882","1542865325,33","176969","Qtde Contribuintes Empregados"
"2006","Ceará","1000468","1141583","6182038657,44","718050","Qtde Contribuintes Empregados"
"2006","Rio Grande do Norte","472595","550143","3021897756,04","324178","Qtde Contribuintes Empregados"
"2006","Paraíba","372343","423140","2260817061,74","267168","Qtde Contribuintes Empregados"
"2006","Pernambuco","1079391","1283016","7378802579,00","729824","Qtde Contribuintes Empregados"
"2006","Alagoas","337888","405856","2052993203,60","222576","Qtde Contribuintes Empregados"
"2006","Sergipe","287646","343234","2277496236,75","207735","Qtde Contribuintes Empregados"
"2006","Bahia","1786498","2069235","13281698007,75","1227019","Qtde Contribuintes Empregados"
"2006","Minas Gerais","4319953","5232815","33054088769,66","3048558","Qtde Contribuintes Empregados"
"2006","Espírito Santo","827277","1038563","6763599774,68","582966","Qtde Contribuintes Empregados"
"2006","Rio de Janeiro","3266117","3845426","37689356333,31","2327173","Qtde Contribuintes Empregados"
"2006","São Paulo","11394017","13795589","144635597924,25","8313476","Qtde Contribuintes Empregados"
"2006","Paraná","2488389","3028502","21723733807,38","1798535","Qtde Contribuintes Empregados"
"2006","Santa Catarina","1853927","2331221","16114705576,03","1338564","Qtde Contribuintes Empregados"
"2006","Rio Grande do Sul","2499474","3020282","24744377519,09","1836404","Qtde Contribuintes Empregados"
"2006","Mato Grosso do Sul","482243","586887","3388502624,58","330966","Qtde Contribuintes Empregados"
"2006","Mato Grosso","612164","735464","4257797982,77","400638","Qtde Contribuintes Empregados"
"2006","Goiás","1090502","1300743","7742624748,65","738165","Qtde Contribuintes Empregados"
"2006","Distrito Federal","671343","803630","9486898776,13","478720","Qtde Contribuintes Empregados"
"2006","Ignorado","160125","207374","654725739,47","93282","Qtde Contribuintes Empregados"
"2008","Rondônia","262484","317630","2079538831,11","176919","Qtde Contribuintes Empregados"
"2008","Acre","94587","114930","816268372,69","62959","Qtde Contribuintes Empregados"
"2008","Amazonas","531812","659636","5854996408,27","373119","Qtde Contribuintes Empregados"
"2008","Roraima","61827","73928","538205364,73","42563","Qtde Contribuintes Empregados"
"2008","Pará","901496","1052464","7807440834,28","620551","Qtde Contribuintes Empregados"
"2008","Amapá","86506","100086","751155623,39","55797","Qtde Contribuintes Empregados"
"2008","Tocantins","234105","294228","1840460776,94","163353","Qtde Contribuintes Empregados"
"2008","Maranhão","517454","619337","4195736671,98","369398","Qtde Contribuintes Empregados"
"2008","Piauí","306958","364879","2401119429,98","231055","Qtde Contribuintes Empregados"
"2008","Ceará","1171072","1386845","8722874998,23","864900","Qtde Contribuintes Empregados"
"2008","Rio Grande do Norte","534759","634586","4331997975,57","391776","Qtde Contribuintes Empregados"
"2008","Paraíba","458267","534501","3489352809,17","352682","Qtde Contribuintes Empregados"
